iter	Passed	Remaining
728	2190	814
729	2194	811
730	2197	808
731	2198	805
732	2200	801
733	2201	797
734	2202	794
735	2204	790
736	2206	787
737	2211	784
738	2212	781
739	2213	777
740	2214	774
741	2215	770
742	2217	766
743	2218	763
744	2219	759
745	2221	756
746	2223	753
747	2225	749
748	2226	746
749	2228	742
750	2229	739
751	2232	736
752	2234	732
753	2240	731
754	2243	727
755	2244	724
756	2246	721
757	2247	717
758	2249	714
759	2250	710
760	2254	707
761	2256	704
762	2259	701
763	2260	698
764	2261	694
765	2264	691
766	2272	690
767	2273	686
768	2275	683
769	2276	680
770	2277	676
771	2279	673
772	2280	669
773	2288	668
774	2290	664
775	2291	661
776	2293	658
777	2294	654
778	2295	651
779	2310	651
780	2311	648
781	2316	645
782	2320	643
783	2321	639
784	2322	636
785	2324	632
786	2325	629
787	2326	625
788	2333	624
789	2336	621
790	2338	617
791	2339	614
792	2341	611
793	2344	608
794	2348	605
795	2350	602
796	2352	599
797	2354	595
798	2356	592
799	2358	589
800	2360	586
801	2362	583
802	2367	580
803	2369	577
804	2371	574
805	2373	571
806	2376	568
807	2388	567
808	2392	564
809	2393	561
810	2398	559
811	2400	555
812	2402	552
813	2404	549
814	2405	546
815	2416	544
816	2417	541
817	2419	538
818	2420	535
819	2422	531
820	2427	529
821	2429	526
822	2430	522
823	2431	519
824	2433	516
825	2434	512
826	2436	509
827	2437	506
828	2446	504
829	2448	501
830	2449	498
831	2451	494
832	2452	491
833	2460	489
834	2461	486
835	2462	483
836	2464	479
837	2471	477
838	2475	475
839	2477	471
840	2479	468
841	2480	465
842	2482	462
843	2483	459
844	2486	456
845	2491	453
846	2496	450
847	2498	447
848	2503	445
849	2506	442
850	2508	439
851	2509	435
852	2511	432
853	2513	429
854	2538	430
855	2539	427
856	2541	424
857	2542	420
858	2543	417
859	2545	414
860	2547	411
861	2554	408
862	2555	405
863	2557	402
864	2560	399
865	2562	396
866	2565	393
867	2567	390
868	2569	387
869	2570	384
870	2572	380
871	2584	379
872	2585	376
873	2587	373
874	2588	369
875	2592	366
876	2600	364
877	2601	361
878	2603	358
879	2605	355
880	2615	353
881	2617	350
882	2618	347
883	2620	343
884	2623	340
885	2630	338
886	2632	335
887	2634	332
888	2636	329
889	2638	326
890	2640	323
891	2653	321
892	2654	318
893	2661	315
894	2663	312
895	2664	309
896	2670	306
897	2676	303
898	2677	300
899	2680	297
900	2682	294
901	2684	291
902	2690	288
903	2691	285
904	2692	282
905	2694	279
906	2695	276
907	2696	273
908	2698	270
909	2706	267
910	2708	264
911	2709	261
912	2710	258
913	2711	255
914	2713	252
915	2719	249
916	2721	246
917	2722	243
918	2724	240
919	2730	237
920	2733	234
921	2735	231
922	2736	228
923	2738	225
924	2745	222
925	2746	219
926	2747	216
927	2749	213
928	2750	210
929	2751	207
930	2753	204
931	2767	201
932	2769	198
933	2772	195
934	2776	193
935	2778	189
936	2779	186
937	2780	183
938	2782	180
939	2798	178
940	2799	175
941	2801	172
942	2805	169
943	2809	166
944	2810	163
945	2811	160
946	2813	157
947	2814	154
948	2816	151
949	2823	148
950	2825	145
951	2826	142
952	2828	139
953	2829	136
954	2831	133
955	2833	130
956	2835	127
957	2837	124
958	2839	121
959	2840	118
960	2842	115
961	2847	112
962	2854	109
963	2856	106
964	2858	103
965	2859	100
966	2861	97
967	2862	94
968	2865	91
969	2868	88
970	2870	85
971	2872	82
972	2874	79
973	2877	76
974	2884	73
975	2886	70
976	2888	68
977	2890	65
978	2891	62
979	2892	59
980	2899	56
981	2901	53
982	2902	50
983	2904	47
984	2908	44
985	2911	41
986	2916	38
987	2917	35
988	2919	32
989	2921	29
990	2922	26
991	2928	23
992	2930	20
993	2932	17
994	2933	14
995	2934	11
996	2937	8
997	2938	5
998	2947	2
999	2949	0
